name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
Schweppes Jengibre 354ml Lata,schweppes-jengibre-354ml-lata,Gaseosa sabor jengibre Schweppes en lata 354ml,1650,1100,80,8,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Schweppes Agua Tónica 1.5L PET,schweppes-tonica-15l-pet,Agua tónica Schweppes botella familiar 1.5 litros,3500,2350,40,4,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Schweppes Pomelo 1.5L PET,schweppes-pomelo-15l-pet,Gaseosa sabor pomelo Schweppes botella familiar 1.5 litros,3500,2350,40,4,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Schweppes Naranja 1.5L PET,schweppes-naranja-15l-pet,Gaseosa sabor naranja Schweppes botella 1.5 litros,3500,2350,40,4,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Powerade Uva 500ml PET,powerade-uva-500ml-pet,Bebida isotónica sabor uva Powerade 500ml,2400,1600,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Powerade Limón 500ml PET,powerade-limon-500ml-pet,Bebida isotónica sabor limón Powerade 500ml,2400,1600,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Powerade Mountain Blast 500ml PET,powerade-mountain-blast-500ml-pet,Bebida isotónica Mountain Blast Powerade 500ml,2400,1600,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Powerade Ice Storm 500ml PET,powerade-ice-storm-500ml-pet,Bebida isotónica Ice Storm Powerade 500ml,2400,1600,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Powerade Golden Mango 500ml PET,powerade-golden-mango-500ml-pet,Bebida isotónica Golden Mango Powerade 500ml,2400,1600,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Powerade Ice Storm 1L PET,powerade-ice-storm-1l-pet,Bebida isotónica Ice Storm Powerade 1 litro,4000,2700,40,4,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Monster Energy Original 473ml Lata,monster-energy-original-473ml,Bebida energizante Monster Energy original sabor verde 473ml,4200,2800,50,5,bebidas,MICRO,500,16,7,7,1,BIKE|MOTO
Monster Energy Ultra White 473ml Lata,monster-energy-ultra-white-473ml,Bebida energizante Monster Energy Ultra Zero azúcar 473ml,4200,2800,50,5,bebidas,MICRO,500,16,7,7,1,BIKE|MOTO
Monster Energy Mango Loco 473ml Lata,monster-energy-mango-loco-473ml,Bebida energizante Monster Mango Loco con jugo 473ml,4200,2800,50,5,bebidas,MICRO,500,16,7,7,1,BIKE|MOTO
Monster Energy Rio Punch 473ml Lata,monster-energy-rio-punch-473ml,Bebida energizante Monster Rio Punch sabor tropical 473ml,4200,2800,50,5,bebidas,MICRO,500,16,7,7,1,BIKE|MOTO
Monster Energy Pipeline Punch 473ml Lata,monster-energy-pipeline-punch-473ml,Bebida energizante Monster Pipeline Punch 473ml,4200,2800,50,5,bebidas,MICRO,500,16,7,7,1,BIKE|MOTO
Benedictino Sin Gas 500ml PET,benedictino-sin-gas-500ml,Agua mineral sin gas Benedictino 500ml,1300,870,100,10,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Benedictino Con Gas 500ml PET,benedictino-con-gas-500ml,Agua mineral con gas Benedictino 500ml,1400,940,100,10,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Benedictino Sin Gas 1.5L PET,benedictino-sin-gas-15l,Agua mineral sin gas Benedictino 1.5 litros,2600,1740,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Benedictino Con Gas 1.5L PET,benedictino-con-gas-15l,Agua mineral con gas Benedictino 1.5 litros,2800,1880,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Smartwater 750ml PET,smartwater-750ml,Agua purificada premium Smartwater 750ml,3500,2350,40,4,bebidas,MICRO,800,29,8,8,1,BIKE|MOTO
Cepita del Valle Naranja 1L,cepita-del-valle-naranja-1l,Jugo de naranja Cepita del Valle 1 litro sin TACC,3000,2000,50,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Cepita del Valle Durazno 1L,cepita-del-valle-durazno-1l,Jugo de durazno Cepita del Valle 1 litro sin TACC,3000,2000,50,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Cepita del Valle Multifrutal 1L,cepita-del-valle-multifrutal-1l,Jugo multifrutal Cepita del Valle 1 litro sin TACC,3000,2000,50,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Cepita del Valle Manzana 1L,cepita-del-valle-manzana-1l,Jugo de manzana Cepita del Valle 1 litro sin TACC,3000,2000,50,5,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Cepita del Valle Naranja 200ml Tetra,cepita-del-valle-naranja-200ml,Jugo de naranja Cepita del Valle 200ml tetra pack individual,900,600,100,10,bebidas,MICRO,230,11,5,5,1,BIKE|MOTO
Cepita del Valle Durazno 200ml Tetra,cepita-del-valle-durazno-200ml,Jugo de durazno Cepita del Valle 200ml tetra pack individual,900,600,100,10,bebidas,MICRO,230,11,5,5,1,BIKE|MOTO
AdeS Vainilla 1L Tetra,ades-vainilla-1l,Bebida vegetal de soja sabor vainilla AdeS 1 litro,3500,2350,40,4,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
AdeS Original 1L Tetra,ades-original-1l,Bebida vegetal de soja original AdeS 1 litro,3500,2350,40,4,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
AdeS Frutas Tropicales 1L Tetra,ades-frutas-tropicales-1l,Bebida vegetal de soja frutas tropicales AdeS 1 litro,3500,2350,40,4,bebidas,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
Aquarius Naranja 500ml PET,aquarius-naranja-500ml,Bebida con fruta sabor naranja Aquarius 500ml,2000,1340,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Aquarius Manzana 500ml PET,aquarius-manzana-500ml,Bebida con fruta sabor manzana Aquarius 500ml,2000,1340,60,6,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Aquarius Naranja 1.5L PET,aquarius-naranja-15l,Bebida con fruta sabor naranja Aquarius 1.5 litros,3500,2350,40,4,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
